=== Poll started 2026-07-02T20:08:24.2420928+00:00 ===
Attempt 1 2026-07-02T20:08:46.8713967+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 2 2026-07-02T20:10:36.0533403+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 3 2026-07-02T20:12:28.9068863+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 4 2026-07-02T20:14:22.9592728+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 5 2026-07-02T20:16:14.5918921+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 6 2026-07-02T20:18:02.3303357+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 7 2026-07-02T20:19:48.6926419+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 8 2026-07-02T20:21:37.7245538+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 9 2026-07-02T20:23:25.2408993+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 10 2026-07-02T20:25:09.7538023+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 11 2026-07-02T20:27:02.3309167+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 12 2026-07-02T20:28:52.1798858+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 13 2026-07-02T20:30:39.0637469+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 14 2026-07-02T20:32:25.9499514+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 15 2026-07-02T20:34:31.7093858+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 16 2026-07-02T20:36:27.5294375+00:00: passenger=IN_QUEUE rider=IN_QUEUE
Attempt 17 2026-07-02T20:38:20.1087545+00:00: passenger=IN_QUEUE rider=IN_QUEUE
